"Tw","alpha_A_liquid","alpha_liquid","alpha_rhoE_A_liquid","alpha_rhoE_A_vapor","alpha_rho_A_liquid","alpha_rho_A_vapor","alpha_rhou_A_liquid","alpha_rhou_A_vapor","alpha_vapor","area","density_liquid","density_vapor","enthalpy_liquid","enthalpy_vapor","heat_flux_perimeter","heat_transfer_coefficient_liquid","heat_transfer_coefficient_vapor","hydraulic_diameter","internal_energy_liquid","internal_energy_vapor","momentum_liquid","momentum_vapor","pressure_liquid","pressure_vapor","temperature_liquid","temperature_vapor","total_energy_liquid","total_energy_vapor","total_enthalpy_flux","total_mass_flux","velocity_liquid","velocity_vapor","void_averaged_density","void_averaged_total_energy","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
550,0.12535,0.389939,108190,15421.5,0.0948347,0.00600081,0.336856,0.0213152,0.610061,0.00032146,756.56,30.5992,1.15021e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63097e+08,7.86366e+07,2687.33,108.69,7.10372e+06,7.10374e+06,542.976,519.13,8.63102e+08,7.86368e+07,1.3911e+09,1114.2,3.55203,3.55205,313.68,3.8453e+08,65,65,2.4832,0,0
550,0.124674,0.387837,107613,15474.4,0.0943178,0.0060214,0.336678,0.0214942,0.612163,0.00032146,756.514,30.5987,1.15036e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63151e+08,7.86355e+07,2700.46,109.226,7.10362e+06,7.10365e+06,543.01,519.13,8.63156e+08,7.86357e+07,1.39217e+09,1114.2,3.56962,3.56963,312.136,3.82902e+08,66,66,2.522,0,0
550,0.124003,0.38575,107040,15526.9,0.0938049,0.00604183,0.336498,0.0216734,0.61425,0.00032146,756.471,30.5982,1.15049e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63201e+08,7.86343e+07,2713.62,109.763,7.10352e+06,7.10355e+06,543.041,519.131,8.63206e+08,7.86345e+07,1.39322e+09,1114.2,3.58721,3.58723,310.604,3.81283e+08,67,67,2.5608,0,0
550,0.123336,0.383676,106470,15579.1,0.0932956,0.00606215,0.336319,0.0218534,0.616324,0.00032146,756.432,30.5978,1.15061e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63247e+08,7.86331e+07,2726.84,110.302,7.10343e+06,7.10345e+06,543.069,519.132,8.63252e+08,7.86333e+07,1.39428e+09,1114.2,3.60488,3.60489,309.083,3.79672e+08,68,68,2.5996,0,0
550,0.122674,0.381616,105904,15631,0.0927905,0.00608231,0.336138,0.0220336,0.618384,0.00032146,756.396,30.5973,1.15071e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63288e+08,7.8632e+07,2740.08,110.841,7.10333e+06,7.10335e+06,543.094,519.133,8.63293e+08,7.86322e+07,1.39531e+09,1114.2,3.62255,3.62256,307.574,3.78071e+08,69,69,2.6384,0,0
550,0.122017,0.37957,105341,15682.4,0.092289,0.00610234,0.335958,0.0222144,0.62043,0.00032146,756.364,30.5968,1.15081e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63325e+08,7.86308e+07,2753.38,111.382,7.10323e+06,7.10326e+06,543.117,519.134,8.6333e+08,7.8631e+07,1.39635e+09,1114.2,3.64028,3.6403,306.076,3.76479e+08,70,70,2.6772,0,0
550,0.121364,0.377539,104781,15733.5,0.0917917,0.00612222,0.335776,0.0223953,0.622461,0.00032146,756.335,30.5964,1.1509e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63359e+08,7.86296e+07,2766.69,111.923,7.10313e+06,7.10316e+06,543.138,519.134,8.63364e+08,7.86298e+07,1.39737e+09,1114.2,3.65802,3.65804,304.591,3.74898e+08,71,71,2.716,0,0
550,0.120715,0.375521,104225,15784.3,0.091298,0.00614197,0.335596,0.0225769,0.624479,0.00032146,756.309,30.5959,1.15098e+06,2.80206e+06,0.0314159,100000,100000,0.0409296,8.63389e+08,7.86284e+07,2780.06,112.466,7.10303e+06,7.10306e+06,543.156,519.135,8.63394e+08,7.86286e+07,1.39839e+09,1114.2,3.67582,3.67584,303.117,3.73325e+08,72,72,2.7548,0,0
550,0.120072,0.37352,103673,15834.6,0.0908087,0.00616156,0.335413,0.0227586,0.62648,0.00032146,756.286,30.5954,1.15105e+06,2.80207e+06,0.0314159,100000,100000,0.0409296,8.63416e+08,7.86272e+07,2793.44,113.008,7.10293e+06,7.10296e+06,543.173,519.136,8.63421e+08,7.86274e+07,1.39939e+09,1114.2,3.69362,3.69364,301.655,3.71764e+08,73,73,2.7936,0,0
550,0.119433,0.371532,103124,15884.6,0.0903229,0.00618101,0.335232,0.0229408,0.628468,0.00032146,756.266,30.5949,1.15111e+06,2.80207e+06,0.0314159,100000,100000,0.0409296,8.6344e+08,7.8626e+07,2806.87,113.553,7.10283e+06,7.10286e+06,543.187,519.137,8.63445e+08,7.86262e+07,1.4004e+09,1114.2,3.71148,3.7115,300.205,3.70211e+08,74,74,2.8324,0,0
550,0.118799,0.36956,102579,15934.2,0.0898415,0.0062003,0.335049,0.0231231,0.63044,0.00032146,756.248,30.5944,1.15117e+06,2.80207e+06,0.0314159,100000,100000,0.0409296,8.6346e+08,7.86247e+07,2820.3,114.097,7.10273e+06,7.10276e+06,543.2,519.138,8.63465e+08,7.86249e+07,1.40138e+09,1114.2,3.72933,3.72935,298.767,3.68671e+08,75,75,2.8712,0,0
550,0.11817,0.367603,102037,15983.5,0.0893638,0.00621946,0.334867,0.0233059,0.632397,0.00032146,756.233,30.5939,1.15121e+06,2.80207e+06,0.0314159,100000,100000,0.0409296,8.63478e+08,7.86235e+07,2833.78,114.643,7.10263e+06,7.10266e+06,543.211,519.139,8.63483e+08,7.86237e+07,1.40238e+09,1114.21,3.74723,3.74725,297.341,3.6714e+08,76,76,2.91,0,0
550,0.117546,0.365661,101500,16032.3,0.0888903,0.00623845,0.334683,0.0234887,0.634339,0.00032146,756.22,30.5934,1.15125e+06,2.80207e+06,0.0314159,100000,100000,0.0409296,8.63493e+08,7.86223e+07,2847.26,115.189,7.10253e+06,7.10256e+06,543.22,519.14,8.63498e+08,7.86225e+07,1.40335e+09,1114.2,3.76512,3.76514,295.927,3.65621e+08,77,77,2.9488,0,0
550,0.116926,0.363734,100967,16080.7,0.0884205,0.00625731,0.334501,0.0236719,0.636266,0.00032146,756.21,30.5929,1.15128e+06,2.80207e+06,0.0314159,100000,100000,0.0409296,8.63505e+08,7.8621e+07,2860.79,115.736,7.10243e+06,7.10245e+06,543.227,519.141,8.6351e+08,7.86212e+07,1.40433e+09,1114.21,3.78307,3.78308,294.524,3.64112e+08,78,78,2.9876,0,0
550,0.116312,0.361823,100437,16128.8,0.087955,0.00627599,0.334317,0.0238551,0.638177,0.00032146,756.201,30.5924,1.15131e+06,2.80208e+06,0.0314159,100000,100000,0.0409296,8.63515e+08,7.86198e+07,2874.32,116.282,7.10233e+06,7.10235e+06,543.233,519.142,8.6352e+08,7.862e+07,1.40529e+09,1114.2,3.801,3.80101,293.134,3.62615e+08,79,79,3.0264,0,0
550,0.115702,0.359926,99911.8,16176.5,0.0874932,0.00629455,0.334134,0.0240388,0.640074,0.00032146,756.195,30.5919,1.15133e+06,2.80208e+06,0.0314159,100000,100000,0.0409296,8.63522e+08,7.86185e+07,2887.89,116.83,7.10223e+06,7.10225e+06,543.238,519.143,8.63528e+08,7.86187e+07,1.40626e+09,1114.21,3.81897,3.81899,291.755,3.61128e+08,80,80,3.0652,0,0
550,0.115098,0.358046,99390.5,16223.7,0.0870357,0.00631293,0.33395,0.0242224,0.641954,0.00032146,756.19,30.5914,1.15134e+06,2.80208e+06,0.0314159,100000,100000,0.0409296,8.63527e+08,7.86172e+07,2901.45,117.378,7.10212e+06,7.10215e+06,543.241,519.144,8.63533e+08,7.86175e+07,1.40722e+09,1114.2,3.83693,3.83695,290.389,3.59653e+08,81,81,3.104,0,0
550,0.114498,0.35618,98872.9,16270.6,0.0865817,0.00633117,0.333767,0.0244063,0.64382,0.00032146,756.188,30.5909,1.15135e+06,2.80208e+06,0.0314159,100000,100000,0.0409296,8.63531e+08,7.8616e+07,2915.05,117.926,7.10202e+06,7.10204e+06,543.243,519.145,8.63536e+08,7.86162e+07,1.40817e+09,1114.21,3.85493,3.85495,289.034,3.58189e+08,82,82,3.1428,0,0
550,0.113903,0.354331,98359.7,16317.1,0.0861321,0.00634925,0.333582,0.0245902,0.645669,0.00032146,756.187,30.5904,1.15135e+06,2.80208e+06,0.0314159,100000,100000,0.0409296,8.63531e+08,7.86147e+07,2928.64,118.474,7.10192e+06,7.10194e+06,543.244,519.146,8.63537e+08,7.86149e+07,1.40912e+09,1114.2,3.87291,3.87293,287.692,3.56737e+08,83,83,3.1816,0,0
550,0.113313,0.352495,97850.1,16363.2,0.085686,0.00636719,0.333399,0.0247744,0.647505,0.00032146,756.187,30.5899,1.15135e+06,2.80208e+06,0.0314159,100000,100000,0.0409296,8.63531e+08,7.86134e+07,2942.27,119.024,7.10181e+06,7.10184e+06,543.243,519.147,8.63536e+08,7.86136e+07,1.41006e+09,1114.21,3.89093,3.89095,286.36,3.55295e+08,84,84,3.2204,0,0
550,0.112729,0.350677,97345,16408.9,0.0852443,0.00638497,0.333214,0.0249585,0.649323,0.00032146,756.19,30.5894,1.15135e+06,2.80209e+06,0.0314159,100000,100000,0.0409296,8.63528e+08,7.86121e+07,2955.89,119.572,7.10171e+06,7.10173e+06,543.242,519.149,8.63534e+08,7.86123e+07,1.411e+09,1114.2,3.90893,3.90895,285.041,3.53866e+08,85,85,3.2592,0,0
550,0.112149,0.348873,96843.6,16454.2,0.084806,0.0064026,0.33303,0.0251429,0.651127,0.00032146,756.193,30.5889,1.15133e+06,2.80209e+06,0.0314159,100000,100000,0.0409296,8.63524e+08,7.86108e+07,2969.54,120.122,7.1016e+06,7.10163e+06,543.239,519.15,8.6353e+08,7.8611e+07,1.41194e+09,1114.21,3.92696,3.92698,283.732,3.52448e+08,86,86,3.298,0,0
550,0.111574,0.347085,96346.7,16499.1,0.0843721,0.00642007,0.332845,0.0253271,0.652915,0.00032146,756.198,30.5883,1.15132e+06,2.80209e+06,0.0314159,100000,100000,0.0409296,8.63517e+08,7.86095e+07,2983.18,120.671,7.1015e+06,7.10152e+06,543.235,519.151,8.63523e+08,7.86097e+07,1.41286e+09,1114.2,3.94497,3.94499,282.437,3.51041e+08,87,87,3.3368,0,0
550,0.111004,0.345311,95853.5,16543.7,0.0839415,0.0064374,0.332661,0.0255116,0.654689,0.00032146,756.205,30.5878,1.1513e+06,2.80209e+06,0.0314159,100000,100000,0.0409296,8.6351e+08,7.86082e+07,2996.85,121.221,7.10139e+06,7.10142e+06,543.231,519.152,8.63516e+08,7.86084e+07,1.41379e+09,1114.21,3.96301,3.96303,281.151,3.49646e+08,88,88,3.3756,0,0
550,0.110439,0.343554,95364.7,16587.8,0.0835153,0.00645457,0.332477,0.0256959,0.656446,0.00032146,756.213,30.5873,1.15127e+06,2.80209e+06,0.0314159,100000,100000,0.0409296,8.63501e+08,7.86069e+07,3010.5,121.769,7.10129e+06,7.10131e+06,543.225,519.153,8.63507e+08,7.86071e+07,1.41471e+09,1114.21,3.98103,3.98105,279.879,3.48262e+08,89,89,3.4144,0,0
550,0.109878,0.34181,94879.7,16631.6,0.0830924,0.0064716,0.332293,0.0258805,0.65819,0.00032146,756.221,30.5868,1.15125e+06,2.80209e+06,0.0314159,100000,100000,0.0409296,8.63491e+08,7.86055e+07,3024.19,122.319,7.10118e+06,7.1012e+06,543.219,519.155,8.63497e+08,7.86058e+07,1.41564e+09,1114.21,3.99907,3.99909,278.616,3.4689e+08,90,90,3.4532,0,0
550,0.109323,0.340084,94399.1,16674.9,0.0826738,0.00648847,0.332108,0.0260649,0.659916,0.00032146,756.231,30.5862,1.15122e+06,2.8021e+06,0.0314159,100000,100000,0.0409296,8.63479e+08,7.86042e+07,3037.85,122.868,7.10107e+06,7.1011e+06,543.211,519.156,8.63485e+08,7.86045e+07,1.41655e+09,1114.21,4.01709,4.01711,277.366,3.45529e+08,91,91,3.492,0,0
550,0.108773,0.33837,93922.1,16717.9,0.0822584,0.0065052,0.331924,0.0262495,0.66163,0.00032146,756.242,30.5857,1.15118e+06,2.8021e+06,0.0314159,100000,100000,0.0409296,8.63466e+08,7.86029e+07,3051.54,123.418,7.10097e+06,7.10099e+06,543.203,519.157,8.63472e+08,7.86031e+07,1.41747e+09,1114.21,4.03513,4.03515,276.126,3.4418e+08,92,92,3.5308,0,0
550,0.108227,0.336674,93449.7,16760.5,0.0818473,0.00652177,0.331739,0.0264338,0.663326,0.00032146,756.255,30.5852,1.15115e+06,2.8021e+06,0.0314159,100000,100000,0.0409296,8.63452e+08,7.86016e+07,3065.21,123.967,7.10086e+06,7.10088e+06,543.195,519.158,8.63458e+08,7.86018e+07,1.41837e+09,1114.21,4.05315,4.05316,274.899,3.42842e+08,93,93,3.5696,0,0
550,0.107686,0.33499,92980.8,16802.7,0.0814395,0.0065382,0.331555,0.0266183,0.66501,0.00032146,756.267,30.5846,1.15111e+06,2.8021e+06,0.0314159,100000,100000,0.0409296,8.63437e+08,7.86002e+07,3078.9,124.516,7.10075e+06,7.10077e+06,543.185,519.16,8.63443e+08,7.86004e+07,1.41928e+09,1114.21,4.07118,4.0712,273.681,3.41515e+08,94,94,3.6084,0,0
550,0.10715,0.333324,92516.4,16844.6,0.0810358,0.00655447,0.331371,0.0268026,0.666676,0.00032146,756.281,30.5841,1.15106e+06,2.8021e+06,0.0314159,100000,100000,0.0409296,8.6342e+08,7.85989e+07,3092.58,125.065,7.10064e+06,7.10066e+06,543.175,519.16,8.63426e+08,7.85991e+07,1.42018e+09,1114.21,4.08919,4.08921,272.476,3.40201e+08,95,95,3.6472,0,0
550,0.106619,0.33167,92055.5,16886.1,0.0806353,0.00657061,0.331186,0.026987,0.66833,0.00032146,756.296,30.5835,1.15102e+06,2.80211e+06,0.0314159,100000,100000,0.0409296,8.63403e+08,7.85974e+07,3106.27,125.614,7.10054e+06,7.10056e+06,543.165,519.162,8.63409e+08,7.85977e+07,1.42108e+09,1114.21,4.10722,4.10724,271.28,3.38896e+08,96,96,3.686,0,0
550,0.106092,0.330033,91599.2,16927.1,0.0802389,0.0065866,0.331002,0.0271712,0.669967,0.00032146,756.312,30.583,1.15097e+06,2.80211e+06,0.0314159,100000,100000,0.0409296,8.63384e+08,7.85962e+07,3119.94,126.162,7.10043e+06,7.10045e+06,543.153,519.163,8.63391e+08,7.85964e+07,1.42198e+09,1114.21,4.12521,4.12523,270.097,3.37604e+08,97,97,3.7248,0,0
550,0.10557,0.328408,91146.3,16967.9,0.0798456,0.00660244,0.330818,0.0273555,0.671592,0.00032146,756.328,30.5824,1.15092e+06,2.80211e+06,0.0314159,100000,100000,0.0409296,8.63366e+08,7.85947e+07,3133.64,126.71,7.10032e+06,7.10034e+06,543.142,519.165,8.63372e+08,7.85949e+07,1.42288e+09,1114.21,4.14322,4.14324,268.923,3.36322e+08,98,98,3.7636,0,0
550,0.105053,0.3268,90697.9,17008.2,0.0794565,0.00661814,0.330634,0.0275395,0.6732,0.00032146,756.345,30.5819,1.15087e+06,2.80211e+06,0.0314159,100000,100000,0.0409296,8.63345e+08,7.85935e+07,3147.3,127.258,7.10021e+06,7.10023e+06,543.129,519.165,8.63352e+08,7.85938e+07,1.42377e+09,1114.21,4.16119,4.16121,267.761,3.35053e+08,99,99,3.8024,0,0
550,0.10454,0.325204,90252.8,17048.2,0.0790702,0.00663369,0.33045,0.0277236,0.674796,0.00032146,756.363,30.5813,1.15081e+06,2.80212e+06,0.0314159,100000,100000,0.0409296,8.63325e+08,7.85919e+07,3160.99,127.806,7.1001e+06,7.10012e+06,543.117,519.169,8.63332e+08,7.85921e+07,1.42466e+09,1114.21,4.1792,4.17922,266.608,3.33792e+08,100,100,3.8412,0,0
550,0.104033,0.323625,89812.4,17087.9,0.0786883,0.00664913,0.330266,0.0279075,0.676375,0.00032146,756.381,30.5809,1.15076e+06,2.80211e+06,0.0314159,100000,100000,0.0409296,8.63303e+08,7.85908e+07,3174.64,128.353,7.09999e+06,7.10001e+06,543.103,519.167,8.6331e+08,7.85911e+07,1.42554e+09,1114.21,4.19714,4.19717,265.468,3.32546e+08,101,101,3.88,0,0
