"beta","beta_max","density_interfacial","gamma_ig","kappa_liquid","kappa_max_liquid","kappa_max_vapor","kappa_vapor","mu_liquid","mu_vapor","pressure_interfacial","pressure_relaxation_rate","temperature_interfacial","velocity_relaxation_rate","ObjectId","GlobalElementId","PedigreeElementId"
0.000561039,0.0592254,792.671,0.00125914,0.000216208,34.2607,11.237,3.19468e-05,0.000216583,3.21169e-05,7.10647e+06,0.00668235,518.242,7.91107e+07,0,34,34
0.000571221,0.0595099,792.672,0.00127284,0.000205616,34.2686,11.2373,3.20083e-05,0.000205974,3.21796e-05,7.10639e+06,0.0067055,518.241,7.93661e+07,0,35,35
0.000580576,0.0597974,792.673,0.00128582,0.000195457,34.2761,11.2376,3.21018e-05,0.0001958,3.22744e-05,7.10631e+06,0.00672843,518.241,7.962e+07,0,36,36
0.000590064,0.0600879,792.674,0.00129811,0.00018579,34.2832,11.2379,3.21641e-05,0.000186117,3.2338e-05,7.10622e+06,0.00675114,518.24,7.98718e+07,0,37,37
0.00059874,0.0603814,792.675,0.00130975,0.000176511,34.2899,11.2382,3.22587e-05,0.000176822,3.24339e-05,7.10614e+06,0.00677358,518.239,8.01214e+07,0,38,38
0.000607583,0.0606776,792.677,0.00132076,0.000167683,34.2963,11.2385,3.23216e-05,0.000167981,3.2498e-05,7.10605e+06,0.00679574,518.238,8.03683e+07,0,39,39
0.000615623,0.0609765,792.678,0.00133117,0.000159202,34.3023,11.2388,3.24171e-05,0.000159486,3.25949e-05,7.10597e+06,0.0068176,518.238,8.06124e+07,0,40,40
0.000623865,0.061278,792.679,0.00134102,0.000151138,34.308,11.2391,3.24805e-05,0.000151409,3.26595e-05,7.10588e+06,0.00683914,518.237,8.08532e+07,0,41,41
0.00063131,0.0615821,792.68,0.00135033,0.000143383,34.3135,11.2394,3.25768e-05,0.000143641,3.27572e-05,7.1058e+06,0.00686034,518.236,8.10907e+07,0,42,42
0.000638989,0.0618885,792.681,0.00135913,0.000136014,34.3186,11.2397,3.26403e-05,0.000136261,3.28221e-05,7.10571e+06,0.00688118,518.235,8.13246e+07,0,43,43
0.000645876,0.0621972,792.682,0.00136744,0.000128918,34.3235,11.24,3.27373e-05,0.000129152,3.29204e-05,7.10562e+06,0.00690165,518.234,8.15546e+07,0,44,44
0.000653031,0.0625082,792.683,0.00137529,0.000122183,34.3281,11.2403,3.28009e-05,0.000122406,3.29854e-05,7.10554e+06,0.00692173,518.234,8.17806e+07,0,45,45
0.000659394,0.0628214,792.685,0.0013827,0.000115686,34.3325,11.2406,3.28983e-05,0.000115898,3.30843e-05,7.10545e+06,0.00694142,518.233,8.20025e+07,0,46,46
0.000666058,0.0631365,792.686,0.00138969,0.000109528,34.3366,11.2409,3.2962e-05,0.00010973,3.31492e-05,7.10536e+06,0.0069607,518.232,8.222e+07,0,47,47
0.000671927,0.0634537,792.687,0.00139628,0.000103576,34.3406,11.2412,3.30598e-05,0.000103768,3.32485e-05,7.10527e+06,0.00697955,518.231,8.2433e+07,0,48,48
0.000678132,0.0637728,792.688,0.00140249,9.79454e-05,34.3443,11.2416,3.31233e-05,9.8128e-05,3.33133e-05,7.10518e+06,0.00699798,518.23,8.26414e+07,0,49,49
0.000683537,0.0640937,792.689,0.00140833,9.24895e-05,34.3478,11.2419,3.32213e-05,9.26627e-05,3.34128e-05,7.10509e+06,0.00701597,518.229,8.28451e+07,0,50,50
0.000689311,0.0644164,792.691,0.00141384,8.73398e-05,34.3511,11.2422,3.32845e-05,8.75042e-05,3.34774e-05,7.105e+06,0.00703352,518.229,8.3044e+07,0,51,51
0.00069428,0.0647407,792.692,0.00141902,8.23353e-05,34.3542,11.2425,3.33827e-05,8.2491e-05,3.35772e-05,7.10491e+06,0.00705062,518.228,8.32379e+07,0,52,52
0.000699651,0.0650667,792.693,0.00142388,7.76254e-05,34.3572,11.2429,3.34456e-05,7.7773e-05,3.36414e-05,7.10482e+06,0.00706727,518.227,8.3427e+07,0,53,53
0.000704207,0.0653942,792.694,0.00142845,7.30319e-05,34.36,11.2432,3.35438e-05,7.31715e-05,3.37412e-05,7.10473e+06,0.00708346,518.226,8.36109e+07,0,54,54
