"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.22205,1.22221,0.407051,0.294658,0
1.22222,1.22221,0.407452,0.26899,0
1.22219,1.22221,0.435998,0.271084,0
1.22225,1.22221,0.43563,0.296519,0
1.22222,1.22221,-0.394866,0.187573,0
1.22213,1.22221,-0.365362,0.187773,0
1.36605,1.22221,-0.14321,-0.348848,0
1.48822,1.22221,-0.142186,-0.379073,0
1.4245,1.22221,-0.115263,-0.342411,0
1.22212,1.22221,-0.323614,-0.186221,0
1.22221,1.22221,0.121261,0.276051,0
1.22223,1.22221,0.0926816,0.27419,0
1.22238,1.22221,0.0104167,0.152911,0
1.22227,1.22221,0.0388622,0.155702,0
1.22226,1.22221,0.0380275,0.184394,0
1.22232,1.22221,0.00954861,0.181835,0
1.22236,1.22221,0.205729,0.336225,0
2.2344,2.28132,0.471554,-0.256076,0
2.2342,2.28132,0.44371,-0.263054,0
2.22391,2.28132,0.444077,-0.288489,0
2.22416,2.28132,0.471888,-0.281279,0
2.23386,2.28132,0.415865,-0.270032,0
2.22388,2.28132,0.416266,-0.2957,0
2.21692,2.28132,0.416667,-0.321367,0
2.21744,2.28132,0.444444,-0.313924,0
2.21711,2.28132,0.472222,-0.306481,0
1.22219,1.22221,-0.335908,0.188081,0
1.22223,1.22221,-0.33486,0.156839,0
1.22228,1.22221,0.407853,0.243323,0
1.22213,1.22221,0.436365,0.245649,0
1.22221,1.22221,0.151242,0.222389,0
1.22224,1.22221,0.179754,0.224715,0
1.22216,1.22221,-0.504808,-0.25,0
1.22214,1.22221,-0.474159,-0.25,0
1.22216,1.22221,-0.474835,-0.21875,0
1.22218,1.22221,-0.505409,-0.21875,0
1.22211,1.22221,-0.44351,-0.25,0
1.2222,1.22221,-0.444261,-0.21875,0
1.22212,1.22221,-0.445012,-0.1875,0
1.22213,1.22221,-0.475511,-0.1875,0
1.22214,1.22221,-0.50601,-0.1875,0
1.22219,1.22221,-0.396648,0.250029,0
1.22209,1.22221,-0.395769,0.218826,0
1.22225,1.22221,-0.333778,0.125523,0
1.22202,1.22221,0.40625,0.345994,0
1.22246,1.22221,0.434896,0.347389,0
1.49205,1.22221,-0.0873397,-0.335924,0
2.28394,2.28132,-0.138889,-0.470228,0
2.33449,2.28132,-0.111111,-0.462785,0
2.35321,2.28132,-0.0833333,-0.455342,0
1.22186,1.22221,-0.381407,-0.281043,0
1.22234,1.22221,0.0673077,0.158494,0
1.22225,1.22221,0.0957532,0.161285,0
1.22227,1.22221,0.0641026,0.272329,0
1.22231,1.22221,0.0649038,0.24387,0
1.22197,1.22221,-0.382252,-0.249913,0
1.22229,1.22221,0.125668,0.108089,0
1.2223,1.22221,0.097289,0.104832,0
1.22227,1.22221,0.0980569,0.076606,0
1.22219,1.22221,0.126402,0.0800949,0
1.22226,1.22221,0.0689103,0.101576,0
1.22218,1.22221,0.0697115,0.073117,0
1.22226,1.22221,0.18109,0.169658,0
1.22223,1.22221,0.180422,0.197187,0
1.22204,1.22221,0.175748,0.389886,0
1.22204,1.22221,0.176416,0.362358,0
1.22218,1.22221,0.177083,0.334829,0
1.22225,1.22221,-0.259504,-0.307586,0
1.2221,1.22221,-0.260689,-0.276373,0
1.22198,1.22221,-0.290477,-0.278379,0
1.22231,1.22221,-0.289333,-0.309665,0
2.27924,2.28132,0.69351,0.0798479,0
2.28212,2.28132,0.693576,0.0565061,0
2.28195,2.28132,0.721788,0.0609254,0
2.28258,2.28132,0.721755,0.0840346,0
1.22224,1.22221,0.183761,0.0595442,0
1.22222,1.22221,0.183093,0.0870727,0
1.22228,1.22221,0.154748,0.0835838,0
1.22227,1.22221,0.155449,0.0558227,0
1.22223,1.22221,0.237981,0.17524,0
1.2223,1.22221,0.238582,0.148177,0
1.22224,1.22221,0.266426,0.178032,0
2.2816,2.28132,0.75,0.0424681,0
2.28202,2.28132,0.75,0.0653447,0
2.28134,2.28132,0.721822,0.0378162,0
2.28281,2.28132,0.75,0.0882213,0
2.25347,2.28132,0.638355,-0.166595,0
2.26032,2.28132,0.638221,-0.142788,0
2.26095,2.28132,0.610276,-0.149068,0
1.22226,1.22221,0.209535,0.172449,0
1.2222,1.22221,0.21017,0.145153,0
1.22226,1.22221,0.239183,0.121114,0
1.22224,1.22221,0.210804,0.117858,0
1.22227,1.22221,0.182425,0.114601,0
1.22234,1.22221,0.181757,0.14213,0
2.26695,2.28132,0.582131,-0.131076,0
2.26193,2.28132,0.582332,-0.155348,0
2.26755,2.28132,0.61011,-0.125029,0
2.27453,2.28132,0.637821,-0.0713673,0
2.27508,2.28132,0.609776,-0.0769496,0
2.27122,2.28132,0.609943,-0.100989,0
2.27184,2.28132,0.637954,-0.0951743,0
1.22216,1.22221,0.294872,0.180823,0
2.21762,2.28132,0.583333,-0.276709,0
2.21755,2.28132,0.611111,-0.269266,0
2.22425,2.28132,0.610944,-0.245227,0
2.22422,2.28132,0.583133,-0.252437,0
2.22416,2.28132,0.638755,-0.238016,0
2.21805,2.28132,0.638889,-0.261823,0
2.26697,2.28132,0.554153,-0.137124,0
2.27234,2.28132,0.55392,-0.112619,0
2.27204,2.28132,0.525908,-0.118434,0
2.27447,2.28132,0.525641,-0.0936964,0
2.27478,2.28132,0.553686,-0.0881141,0
2.26682,2.28132,0.638088,-0.118981,0
2.27157,2.28132,0.581931,-0.106804,0
2.27537,2.28132,0.581731,-0.0825319,0
2.24129,2.28132,0.468884,-0.0544559,0
2.26181,2.28132,0.496995,-0.0493388,0
2.22615,2.28132,0.496695,-0.0243689,0
2.18241,2.28132,0.46855,-0.0292533,0
2.05423,2.28132,0.693243,0.173215,0
2.13887,2.28132,0.721621,0.176471,0
2.02666,2.28132,0.721588,0.199581,0
1.89991,2.28132,0.693176,0.196557,0
1.24469,1.22221,0.241587,0.0128607,0
1.28176,1.22221,0.242188,-0.0142026,0
1.31566,1.22221,0.270399,-0.00978334,0
